Row(destcityname='Anchorage, AK')
Row(destcityname='Boston, MA')
Row(destcityname='Milwaukee, WI')
Row(destcityname='Houston, TX')
Row(destcityname='Nashville, TN')
Row(destcityname='San Francisco, CA')
Row(destcityname='Kahului, HI')
Row(destcityname='Twin Falls, ID')
Row(destcityname='Hartford, CT')
Row(destcityname='Des Moines, IA')
Row(destcityname='Baltimore, MD')
Row(destcityname='New York, NY')
Row(destcityname='Sitka, AK')
Row(destcityname='Oakland, CA')
Row(destcityname='Dallas/Fort Worth, TX')
Row(destcityname='Miami, FL')
Row(destcityname='Omaha, NE')
Row(destcityname='Tampa, FL')
Row(destcityname='Eugene, OR')
Row(destcityname='Fairbanks, AK')
Row(destcityname='Phoenix, AZ')
Row(destcityname='Ketchikan, AK')
Row(destcityname='Long Beach, CA')
Row(destcityname='Indianapolis, IN')
Row(destcityname='Fresno, CA')
Row(destcityname='Jackson, WY')
Row(destcityname='Santa Barbara, CA')
Row(destcityname='Kona, HI')
Row(destcityname='Hayden, CO')
Row(destcityname='Denver, CO')
Row(destcityname='Philadelphia, PA')
Row(destcityname='Burbank, CA')
Row(destcityname='Bellingham, WA')
Row(destcityname='Colorado Springs, CO')
Row(destcityname='Ontario, CA')
Row(destcityname='Tucson, AZ')
Row(destcityname='Palm Springs, CA')
Row(destcityname='Pasco/Kennewick/Richland, WA')
Row(destcityname='Reno, NV')
Row(destcityname='Honolulu, HI')
Row(destcityname='Cleveland, OH')
Row(destcityname='Lihue, HI')
Row(destcityname='Moses Lake, WA')
Row(destcityname='Yakima, WA')
Row(destcityname='Medford, OR')
Row(destcityname='Charlotte, NC')
Row(destcityname='St. Louis, MO')
Row(destcityname='Washington, DC')
Row(destcityname='Minneapolis, MN')
Row(destcityname='Pittsburgh, PA')
Row(destcityname='Memphis, TN')
Row(destcityname='Albuquerque, NM')
Row(destcityname='Bozeman, MT')
Row(destcityname='Pocatello, ID')
Row(destcityname='Portland, OR')
Row(destcityname='Austin, TX')
Row(destcityname='Santa Ana, CA')
Row(destcityname='Orlando, FL')
Row(destcityname='Newark, NJ')
Row(destcityname='Salt Lake City, UT')
Row(destcityname='Boise, ID')
Row(destcityname='Wichita, KS')
Row(destcityname='San Antonio, TX')
Row(destcityname='New Orleans, LA')
Row(destcityname='Kansas City, MO')
Row(destcityname='Cincinnati, OH')
Row(destcityname='Las Vegas, NV')
Row(destcityname='Sacramento, CA')
Row(destcityname='Atlanta, GA')
Row(destcityname='Juneau, AK')
Row(destcityname='Bend/Redmond, OR')
Row(destcityname='Los Angeles, CA')
Row(destcityname='San Jose, CA')
Row(destcityname='Fort Lauderdale, FL')
Row(destcityname='Spokane, WA')
Row(destcityname='San Diego, CA')
Row(destcityname='Chicago, IL')
Row(destcityname='Detroit, MI')
Row(destcityname='Ogden, UT')
